Cava,Puntuació,id,Municipi,id_cava,Comarca,Província,Població
Can Festís,161.79,24859,Sant Sadurní d'Anoia,5284,Alt Penedès,Barcelona,12841
Agrícola de L'Albi,161.64,34468,L'Albi,4491,Garrigues,Lleida,744
Txomin Etxaniz (Txakolina) - E,161.1,17487,Getaria,3346,,Guipúzcoa,2906
1999,160.89,61780,Caldes de Malavella,6522,Selva,Girona,7872
Casa Murada,160.82,85386,Castellet i La Gornal,5013,Alt Penedès,Barcelona,2382
ValdoItàlia,160.43,16109,Valdobbiadene,720,,Treviso,11223
González Dubosc,159.76,7685,Sant Sadurní d'Anoia,766,Alt Penedès,Barcelona,12841
Josep Font Verdiell,159.73,53669,Sant Sadurní d'Anoia,4569,Alt Penedès,Barcelona,12841
Liorna,159.56,18138,Sant Sadurní d'Anoia,3330,Alt Penedès,Barcelona,12841
FerrariItàlia,159.11,2896,Trento,669,,Trento,120336
Vila Morgades,159.01,12406,Castellví de la Marca,370,Alt Penedès,Barcelona,1575
Pryca,158.73,4894,Alcobendas,297,,Madrid,121373
Aldebaran,158.52,35235,Sant Sadurní d'Anoia,3567,Alt Penedès,Barcelona,12841
Trobades 2009,158.18,48900,-,4329,,,
Borgo MolinoItàlia,158.07,60074,Ormelle,4753,,Treviso,4070
Charles VolnerFrança (mousseux),157.92,12648,Tournan-en-Brie,938,,Seine-et-Marne,8324
Mas Gamell,157.82,828,Vilamalla,446,Alt Empordà,Girona,1161
"Commemoratives, sèries",157.56,26069,-,4021,,,
Torre del Gall,157.36,8988,Sant Cugat Sesgarrigues,879,Alt Penedès,Barcelona,1009
Alatac,156.61,119402,La Pobla de Montornès,6227,Tarragonès,Tarragona,2884
Bodegas Ruiz Torres - E,156.61,25395,Cañamero,3703,,Cáceres,1601
Duval - LeroyFrança (champagne),156.57,5244,Blancs-Coteaux,1823,,Marne,3380
